gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
WDPCP,12,11,6,0,0,0,0,129
IL11RA,2,1,1,0,0,0,0,111
RTTN,19,11,6,0,0,0,0,395
POC1B,14,3,2,0,0,0,0,85
SMG8,2,2,2,0,0,0,0,144
TP73,0,0,0,0,0,0,0,62
AFG2A,0,0,0,0,0,0,0,0
ACY1,5,2,4,0,0,0,0,83
ETFB,5,6,1,0,0,0,0,41
LRPPRC,36,21,0,0,0,0,0,205
LIG1,1,0,6,0,0,0,0,156
B3GALT6,5,5,8,0,0,0,0,70
CR2,25,5,4,3,0,0,0,169
BLNK,1,1,0,0,0,0,0,49
PIGL,5,3,1,2,0,0,0,48
ATP6V1B1,29,7,0,1,0,0,0,80
LIFR,35,14,1,1,0,0,0,151
RAB3GAP2,6,6,3,1,0,0,0,169
SLC35D1,2,1,1,0,0,0,0,64
ACOX2,1,1,6,0,0,0,0,124
RAB3GAP1,26,4,0,0,0,0,0,176
PEX13,7,0,3,0,0,0,0,53
FOLR1,7,1,1,0,0,0,0,19
LARGE1,6,5,0,0,0,0,0,94
SGCA,27,3,0,0,0,0,0,48
CA5A,2,2,0,1,0,0,0,50
MARS2,2,0,8,1,0,0,0,106
GLB1,44,6,0,0,0,0,0,71
HLCS,25,11,1,0,0,0,0,110
AGTPBP1,8,1,0,0,0,0,0,152
ALG3,2,3,2,0,0,0,0,79
DCDC2,10,4,4,1,0,0,0,74
TRIM37,29,12,0,0,0,0,0,137
NEMF,4,3,0,0,0,0,0,191
GNPTAB,93,15,0,0,0,0,9,182
WNK1,0,6,4,1,0,0,0,87
KIAA1549,0,2,6,1,0,0,0,176
TOR1AIP1,7,10,6,0,0,0,0,110
XPNPEP3,3,7,3,0,0,0,0,74
ASPA,13,7,1,1,0,0,0,28
HPCA,0,0,0,0,0,0,0,10
SH3TC2,46,12,7,0,0,0,0,139
ICOS,2,1,0,0,0,0,0,24
NUP188,6,2,1,0,0,0,0,220
TXNDC15,3,0,0,0,0,0,0,55
TRIOBP,33,18,5,0,0,0,0,384
MOCOS,5,14,4,1,1,0,0,140
EFEMP2,3,3,1,2,0,0,0,51
ALMS1,232,31,20,1,1,0,0,471
CA2,4,2,0,0,0,0,0,40
MLYCD,14,2,1,2,0,0,0,75
MPC1,0,0,1,0,0,0,0,13
PHYH,14,12,1,0,0,0,0,48
FANCI,45,45,7,0,0,0,0,249
TGDS,1,2,3,0,0,0,0,97
DYSF,164,31,4,2,0,0,1,247
NPHP4,57,24,3,1,1,0,0,278
INVS,41,10,5,0,0,0,0,153
NDUFS4,11,4,2,1,0,0,0,46
MMADHC,15,6,0,0,0,0,0,41
RARS2,52,27,2,0,0,0,0,91
LAMA5,2,2,6,2,2,0,0,606
GYG1,13,7,4,1,0,0,0,105
WARS2,1,3,3,0,0,0,0,57
ETHE1,12,6,0,0,0,0,0,30
LDLRAP1,21,4,0,1,0,0,0,43
PDE6G,4,0,1,0,0,0,0,21
PCYT1A,6,1,6,0,0,0,0,71
LARS2,11,10,2,0,0,0,0,153
DGUOK,12,4,2,0,0,0,0,58
GUSB,14,6,1,0,0,0,0,110
FRAS1,75,30,10,4,0,0,0,472
STAC3,9,3,2,0,0,0,0,58
CTSK,25,4,0,0,0,0,0,32
SDHB,21,1,0,1,0,0,0,14
RLBP1,15,2,3,1,0,0,0,37
PALB2,182,8,2,1,0,0,0,44
SERAC1,21,3,0,0,0,0,0,97
UBA5,7,0,1,0,0,0,0,58
DNAAF4,21,2,1,0,1,0,0,75
OAT,27,8,0,0,0,0,0,46
RNASEH2B,14,9,8,0,0,0,0,64
ERLIN1,0,0,2,0,0,0,0,59
MSTO1,8,3,0,1,0,0,0,104
ARSB,38,4,0,0,0,0,0,59
HPS6,30,6,3,0,0,0,0,111
SLC30A9,1,3,0,0,0,0,0,140
CD70,0,0,1,0,0,0,0,16
PGM3,15,1,4,0,0,0,0,105
TTLL5,45,10,4,2,0,0,0,231
WDR19,37,18,2,2,0,0,0,230
CNGA3,32,5,2,0,0,0,0,58
COQ6,5,5,1,0,0,0,0,99
CAD,16,6,3,0,0,0,0,184
HACD1,3,0,3,0,0,0,0,72
HYDIN,8,7,4,0,0,0,0,597
PRF1,8,3,0,0,0,0,0,19
STX11,10,3,1,0,0,0,0,28
ATP6V0A2,15,5,2,0,0,0,2,123
TCTN2,22,10,0,1,0,0,0,121
PIGN,48,17,3,1,0,0,0,194
DIS3L2,24,4,1,0,0,0,0,75
NDUFS7,2,1,0,0,0,0,0,37
KCNJ1,15,2,0,0,0,0,0,43
AP4E1,4,5,2,1,1,0,0,126
CRPPA,11,1,4,0,0,0,0,89
KNG1,3,0,0,0,0,0,0,57
ALX3,2,0,0,0,0,0,0,51
DOCK8,30,5,4,1,0,0,0,242
RAB23,6,2,0,1,0,0,0,35
HOXA1,2,0,0,1,0,0,0,50
TRIT1,5,2,1,0,0,0,0,83
UROS,3,0,0,0,0,0,0,46
PPP1R21,4,1,3,0,0,0,0,153
TRMT5,1,0,10,1,0,0,0,89
AGPS,1,3,3,0,0,0,0,61
DSE,0,1,3,0,0,0,0,68
BSND,8,2,1,0,0,0,0,26
CPAMD8,9,8,0,1,0,0,0,364
DNAH12,0,0,1,1,1,0,0,705
GIPC3,5,2,1,0,0,0,0,56
BUB1B,24,5,4,0,0,0,0,164
POMGNT2,10,2,1,1,0,0,0,59
TH,14,9,0,1,0,0,0,73
PGAP3,8,0,0,1,0,0,0,50
RMRP,0,0,0,0,0,0,0,0
TUSC3,5,1,1,0,0,0,0,83
COL9A1,29,11,5,0,0,0,0,163
C1QB,0,1,0,0,0,0,0,3
ACAT1,35,5,1,0,0,0,0,68
MPV17,23,11,0,0,0,0,0,24
NDUFV1,14,3,0,2,0,0,0,83
LIPA,27,2,0,0,0,0,0,32
NDUFAF4,0,0,0,1,0,0,0,20
FLAD1,10,2,1,0,0,0,0,98
NAGA,8,6,1,0,0,0,0,75
LRP4,3,5,4,0,0,0,0,175
CYP4V2,26,4,1,0,0,0,0,106
PUS1,5,9,0,0,0,0,0,60
PINK1,14,4,4,0,0,0,0,117
SCNN1A,15,1,4,0,0,0,0,112
